CountryID;CityID;DistrictID;LanguageID;DistrictName;Latitute;Longitude
BE;34534;;;;51.1333333;4.3333333
BE;34544;;;;51.25;4.5
BE;34584;;;;50.75;4.35
BE;34675;;;;50.5;5.8666667
BE;34679;33367;nl;Helkijn;50.7333333;3.3833333
BE;34679;34678;nl;Spiere;50.7166667;3.35
BE;34735;;;;51.0666667;5.0833333
BE;34790;;;;51.0666667;3.1
BE;34806;;;;51.3166667;4.95
BE;34928;;;;51.2;4.7666667
BE;34932;;;;51.3166667;4.8833333
BE;34949;;;;51.15;3.6
BE;34951;;;;51.1;4.0833333
BE;34953;;;;51.1666667;3.8666667
BE;35000;;;;50.7166667;4.3833333
BE;35026;;;;50.9166667;4.3
BE;35049;;;;50.85;4.4833333
BE;35066;;;;51.2333333;4.5333333
BE;35090;;;;51.2;4.5166667
BE;35122;;;;51.0666667;4.0333333
BE;35125;32394;nl;Aalter;51.0833333;3.45
BE;35125;32580;nl;Bellem;51.0833333;3.5
BE;35125;33797;nl;Lotenhulle;51.05;3.4666667
BE;35125;34308;nl;Poeke;51.05;3.4333333
BE;35125;35271;nl;Aalterbrug;50.7833333;3.4166667
BE;35125;35272;nl;Sint-Maria-Aalter;51.0833333;3.3666667
BE;35142;;;;50.9833333;5.35
BE;35152;;;;50.9333333;5.5666667
BE;35166;32446;nl;Antwerpen;51.2166667;4.4166667
BE;35166;32590;nl;Berchem;51.2;4.4333333
BE;35166;32696;nl;Borgerhout;51.2166667;4.4333333
BE;35166;32907;nl;Deurne;51.2166667;4.4666667
BE;35166;32973;nl;Ekeren;51.2833333;4.4166667
BE;35166;33425;nl;Hoboken;51.1666667;4.35
BE;35166;33933;nl;Merksem;51.25;4.45
BE;35166;35075;nl;Wilrijk;51.1666667;4.4
BE;35166;35167;nl;Berendrecht-Zandvliet-Lillo;51.3333333;4.3055555
BE;35168;32662;nl;Boechout;51.1666667;4.5
BE;35168;34937;nl;Vremde;51.1833333;4.5166667
BE;35169;32743;nl;Brecht;51.35;4.6333333
BE;35169;34595;nl;Sint-Job-in't-Goor;51.3;4.5833333
BE;35169;34611;nl;Sint-Lenaarts;51.35;4.6833333
BE;35170;33609;nl;Kontich;51.1333333;4.45
BE;35170;34947;nl;Waarloos;51.1;4.45
BE;35171;34191;nl;Oostmalle;51.3;4.7333333
BE;35171;35040;nl;Westmalle;51.3;4.6833333
BE;35172;32749;nl;Broechem;51.1833333;4.6
BE;35172;32993;nl;Emblem;51.1666667;4.6
BE;35172;34144;nl;Oelegem;51.2166667;4.5833333
BE;35172;34365;nl;Ranst;51.2;4.55
BE;35173;34372;nl;Reet;51.1;4.4166667
BE;35173;34464;nl;Rumst;51.0833333;4.4166667
BE;35173;34729;nl;Terhagen;51.0833333;4.4
BE;35174;34470;nl;'s Gravenwezel;51.2666667;4.55
BE;35174;34539;nl;Schilde;51.2333333;4.5666667
BE;35175;33436;nl;Hoevenen;51.3;4.3833333
BE;35175;34683;nl;Stabroek;51.3333333;4.3666667
