CountryID;CityID;DistrictID;Zip
CH;30444;;5000
CH;30444;;5004
CH;30444;;5001
CH;30445;;4663
CH;30446;;5645
CH;30447;;5628
CH;30448;;5105
CH;30449;;5644
CH;30450;;5404
CH;30450;;5403
CH;30450;;5400
CH;30450;;5402
CH;30450;;5406
CH;30450;;5405
CH;30450;;5401
CH;30451;;8965
CH;30452;;5242
CH;30453;;5708
CH;30454;;5706
CH;30455;;4814
CH;30456;;5315
CH;30457;;5076
CH;30458;;4805
CH;30459;;5632
CH;30460;;5026
CH;30461;;6042
CH;30462;;5605
CH;30463;;5312
CH;30464;;5724
CH;30465;;5078
CH;30466;;5445
CH;30467;;5704
CH;30468;;5074
CH;30469;;5304
CH;30470;;5018
CH;30471;;5275
CH;30472;;5615
CH;30473;;5070
CH;30474;;5412
CH;30475;;5073
CH;30476;;5728
CH;30477;;5722
CH;30478;;5245
CH;30479;;5607
CH;30480;;5705
CH;30481;;5604
CH;30482;;5075
CH;30483;;5083
CH;30484;;8916
CH;30485;;4303
CH;30486;;5082
CH;30487;;8956
CH;30488;;5313
CH;30489;;5322
CH;30490;;5742
CH;30491;;5444
CH;30492;;5024
CH;30493;;5080
CH;30494;;5325
CH;30495;;5600
CH;30496;;5725
CH;30497;;4312
CH;30498;;5616
CH;30499;;5507
CH;30500;;5737
CH;30501;;5634
CH;30502;;4313
CH;30503;;5054
CH;30504;;5037
CH;30505;;5642
CH;30506;;4322
CH;30507;;4853
CH;30508;;5432
CH;30509;;5702
CH;30510;;5443
CH;30511;;5036
CH;30512;;8917
CH;30513;;5647
CH;30514;;4665
CH;30515;;5504
CH;30516;;4310
CH;30517;;4852
CH;30518;;8964
CH;30519;;5102
CH;30520;;5745
CH;30521;;5614
CH;30522;;5503
CH;30523;;5116
CH;30524;;5107
CH;30525;;5044
CH;30526;;5040
CH;30527;;5326
CH;30528;;5707
CH;30529;;5703
CH;30530;;5462
CH;30531;;5643
CH;30532;;8957
CH;30533;;5053
CH;30534;;5603
CH;30535;;5233
CH;30536;;4802
CH;30537;;5034
CH;30538;;5306
CH;30539;;5300
CH;30540;;4813
CH;30541;;5424
CH;30542;;5726
CH;30543;;8918
CH;30544;;5417
CH;30545;;5234
CH;30546;;5612
CH;30547;;5213
CH;30548;;4803
CH;30549;;5622
CH;30550;;4317
CH;30551;;5430
CH;30552;;5103
CH;30553;;5210
CH;30554;;5064
CH;30555;;5063
CH;30556;;5303
CH;30557;;5436
CH;30558;;5079
CH;30559;;4800
